name,product_url,sku,price,summary,description,features,specs_json,image_urls,source_url,category_id,view_count,unused
Máy vỗ giấy Challenge iJOG,https://vprintmachinery.com/san-pham/May-vo-giay-Challenge-iJOG-92.html,,Giá: Liên hệ,Mạnh mẽ với tùy chọn tách thổ khí cho vật liệu in kỹ thuật số nhiễm tĩnh điện.,,"Vỗ giấy mạnh mẽ, cơ điện Đưa giấy vào mặt trước Kiểm soát bằng bàn đạp chân Điều chỉnh lưu lượng khí - từ 0 đến 112 CFM Hai tốc độ rung Ba chế độ hoạt động - khí luôn luôn hoạt động, luôn bật hoặc bật không khí trong một khoảng thời gian có thể điều chỉnh trong khi thực hiện vỗ Cứng vững, hạng nặng","{""Chiều cao chồng giấy"": ""tối đa 4 \"" / 10,16 cm"", ""Kích thước giấy"": ""lên đến 13 \""x 19\"" / 33 cm x 48 cm"", ""Chiều rộng"": ""23 \""/ 58,4 cm"", ""Độ sâu"": ""23 \""/ 58,4 cm"", ""Chiều cao"": ""20 \""/ 50,8 cm"", ""Trọng lượng tịnh (gần đúng)"": ""75 lbs / 34 kg"", ""Trọng lượng vận chuyển (gần đúng)"": ""80 lbs / 36,3 kg""}",https://vprintmachinery.com/upload/sanpham/may-vo-giay-ijog-6700.jpg,,,,
Máy in phun carton singlepass YD-S300,https://vprintmachinery.com/san-pham/May-in-phun-carton-singlepass-YDS300-304.html, YD-S300,Giá: Liên hệ,Máy in phun singlepass mực gốc nước cho các sản phẩm giấy và carton,"1. Sử dụng đầu in công nghiệp HP. 2. Chức năng in tốc độ cao: mẫu, mã QR, mã vạch, hình ảnh, v.v. 3. Ứng dụng rộng rãi và độ phân giải in cao 1200 × 1200 DPI. 4. In 4 màu C, M, Y, K. 5. Chất liệu in: carton sóng, giấy thủ công, hộp bánh pizza, thùng giấy, túi xách, hộp đóng gói, v.v. 6. Tiết kiệm chi phí, thân thiện với môi trường và dễ vận hành.","1. Sử dụng đầu in công nghiệp khổ rộng của HP, đầu in đơn có thể in chiều rộng lên tới 297mm, hỗ trợ tối đa 2 đầu và chiều rộng in có thể đạt tới 580mm. 2. In tốc độ cao hoạt động liên tục được dẫn hướng bằng dây đai, điều chỉnh 1-4 màu, lên đến 30 mét mỗi phút. 3. Thiết kế để bàn, nhẹ, dễ di chuyển, phù hợp với hộp sóng, thùng giấy, túi xách, hộp đóng gói, v.v. 4. Kích thước có thể được tùy chỉnh theo nhu cầu của các nhà sản xuất khác nhau để đáp ứng sản xuất hàng loạt lớn và nhỏ, loại bỏ quy trình tạo bản in phức tạp. 5. Sử dụng mực gốc nước khô nhanh thân thiện với môi trường, khô ngay sau khi in, không thấm nước và chống bám bẩn sau khi in.","{""Model"": ""YD-S300"", ""Chiều rộng in"": ""1 đầu: 297mm/2 đầu: 580mm"", ""Đầu in"": ""Đầu in công nghiệp HP-FI-1000"", ""Số đầu in"": ""1-2 đầu"", ""Độ phận giải in"": ""1200*300 dpi,1200*600 dpi, 1200*1200 dpi"", ""Tốc độ in"": ""6-20m/phút"", ""Loại vật liệu"": ""Vật liệu cứng và mềm: hộp giấy, túi giấy, carton sóng,"", ""Loại mực"": ""Mực pigment gốc nước thân thiện môi trường"", ""Màu mực"": ""C, M, Y, K"", ""Kích thước bàn in"": ""600mm"", ""Độ dày vật liệu"": ""0-200mm"", ""Cổng kết nối"": ""RJ45(Gigabit Ethernet Port)"", ""Printer Weight"": ""300KG"", ""Printer Size"": ""1950mm[L]*1250mm[W]*1500mm[H]"", ""Power Requirement"": ""220V/AC (±10%),50Hz;1KW"", ""Working Environment"": ""Separate, little sunlight, ventilated workshop, Temperature: 18℃~30℃（64℉~86℉); Humidity: 30%~70% (Non-condensing); Ventilation equipment: suggest overhead exhaust fan, displacement 600cfm.""}",https://vprintmachinery.com/upload/sanpham/S300-2292.png,,,,
Máy bôi keo tự động NW-SJ,https://vprintmachinery.com/san-pham/May-boi-keo-tu-dong-NWSJ-236.html, NW-SJ,Giá: Liên hệ,Máy bôi keo tự động hỗ trợ cho công đoạn dán quai xách túi giấy thủ công.,Máy bôi keo cho công đoạn dán quai xách túi giấy thủ công.,"Dễ dàng sử dụng, chỉ việc cắm điện, đổ keo và bật máy. Bôi keo nhanh và đều hơn. Sử dụng keo lạnh, keo sữa, tiết kiệm chi phí.","{""Công suất"": ""150W"", ""Nguồn điện"": ""220V 50HZ"", ""Chiều rộng khu vực keo"": ""0-40mm"", ""Tốc độ"": ""20pcs/min"", ""Kích thước máy"": ""300*290*260mm"", ""Khối lượng"": ""13KG""}",https://vprintmachinery.com/upload/sanpham/nw-sj-8789.jpg,,,,
Máy in flexo full-rotary INVICTA i2,https://vprintmachinery.com/san-pham/May-in-flexo-fullrotary-INVICTA-i2-299.html, Invicta i2,Giá: Liên hệ,"Lombardi Invicta dòng ""máy vạn năng"" trong ngành in, hầu như không giới hạn về chất liệu in, có tính linh hoạt và năng động để tạo thuận lợi cho người vận hành và giảm thiểu sức người","Invicta i2 là dòng mày sử dụng cơ cấu truyền động trực tiếp, không hộp số, không trục trên 3 thành phần của đơn vị in là trục bản, trục anilox và trục ép in Nhờ cơ cấu này và khung máy có vai rộng 50 mm, mang lại chất lượng được đảm bảo. Invicta i2 có các khổ cuộn 750mm, 850mm, 1100mm . Cùng với bước in lên đến 36” (914mm), cho khả năng in lên đến 1 mét vuông cuộn, khiến Invicta i2 trở thành máy có khổ in lớn nhất trong danh mục của nó. Máy được trang bị hệ thống trước chồng màu, hệ thống chồng màu và hệ thống áp lực in điện tử hoàn toàn, đảm bảo chất lượng tốt nhất và thời gian dừng thiết lập ngắn nhất. Mỗi tham số in có thể được lưu trên trang công thức. Máy in nhãn cuộn flexo full-rotary INVICTA i2","Các khổ máy Invicta i2 - 750mm - 850mm - 1100mm Invicta dài in tối đa là 36 inch (914 mm). Máy có thể in bất kỳ loại vật liệu phim nào và vật liệu nhôm tối thiểu 12 MY. Invicta i2 có thể in màng nhựa cho các ứng dụng cuộn, màng co giãn cũng như vật liệu đa lớp, nhôm, carton nhẹ. Phân phối mực đều, được đảm bảo nhờ trục anilox có đường kính 150 mm và ống bọc anilox gắn trên trục gá 420 có đường kính 127.144 mm. Hệ thống mực thay đổi nhanh chóng, nhờ vào hệ thống dao gạt buồng kín có tính năng tự động đổ mực và rửa tự động. Tùy chọn phương pháp làm khô: - Đèn UV thủy ngân - Đèn UV LED - Chùm tia electron - Máy sấy khí nóng cho mực gốc dung môi - Máy sấy khí nóng cho mực gốc nước",,"https://vprintmachinery.com/upload/hinhthem/INVICTAI21LOW1-6148.jpg, https://vprintmachinery.com/upload/hinhthem/fullINVICTAi23-760.jpg, https://vprintmachinery.com/upload/hinhthem/fullY3A66921BUONA-8702.jpg, https://vprintmachinery.com/upload/sanpham/INVICTA_I2_-_LOW_-1-0291-61640.png",,,,
Máy Xén Sách 3 mặt KTS CMT-130TC,https://vprintmachinery.com/san-pham/May-Xen-Sach-3-mat-KTS-CMT130TC-59.html, CMT-130TC,Giá: Liên hệ,Được thiết kế để xén sách từ phía dưới lên một cách linh hoạt.,"Ngành đóng sách keo đã có những bước tiến lớn trong những năm gần đây. Theo truyền thống, nhiệm vụ xén sách số lượng ít được thực hiện bởi các máy xén truyền thống nhưng quá trình này tốn thời gian và chịu nhiều khả năng hư hỏng sách do lỗi của người vận hành. Dựa trên 150 năm kinh nghiệm chuyên môn, Challenge đã thiết kế giải pháp cắt sách cuối cùng cần thiết cho thị trường cạnh tranh ngày nay - CMT 130 . Thiết kế chắc chắn bằng thép và gang của CMT 130TC đảm bảo nhiều năm hoạt động không gặp sự cố. Kẹp thủy lực và hành động cắt cung cấp sức mạnh để cắt lên đến 2 ""(50.8mm) chiều dày sách mà không khựng. Các tính năng tiêu chuẩn như bề mặt UHMW, ống lót composite, và công nghệ động cơ bước yêu cầu bảo trì hầu như bằng không. Tính mô đun độc quyền trong ngành của CMT 130TC cung cấp khả năng bổ sung cho sự tăng trưởng trong tương lai trong tổ chức của bạn. Hệ thống có thể được cấu hình như máy off-line cấp tay cho mục đích hoàn thiện giảm chi phí. Khay nạp công suất cao cho phép chồng sách lên đến 35,5 ""/ 90 cm được xếp chồng lên nhau và tự động được đưa vào máy. Ngăn xếp dọc cho phép chứa sách thành phẩm tới chiều dài24"" / 61 cm . Khi hai môun này được kết hợp, giải pháp near-line trimming cho phép người vận hành máy đóng sách cũng có thể nạp và thu thập sản phẩm từ CMT 130TC. CMT 130TC cũng có thể được cấu hình để cắt xén bằng cách thêm băng tải và tháp giải nhiệt vào hệ thống - cho phép máycó khả năng nhận sách trực tiếp từ máy đóng sách HOẶC từ khay nạp sách. Hệ thống CMT 130TC là giải pháp linh hoạt để đáp ứng nhu cầu cắt sách của bạn! Màn hình điều khiển cả ứng trực quan 10,5"" cung cấp một hình ảnh sạch sẽ rõ ràng của hệ thống cắt tỉa. Tự động bắt đầu phát hiện kích thước cuốn sách làm đơn giản hoá các thông số công việc cần làm cho mục nhập công việc nhanh chóng và dễ dàng. Thay đổi kích thước nhanh chóng trong khoảng 10 giây không có công cụ cần thiết! Khả năng đọc Mã vạch chuẩn tối đa hóa hiệu quả của quá trình cho phép thay đổi giữa các công việc sách được hoàn toàn tự động.Không có hệ thống cắt sách nào khác trên thị trường có thể so sánh với với khả năng của hệ thống CMT 130TC! Tự hào được sản xuất tại Mỹ, CMT 130TC cung cấp chất lượng cắt, độ bền và chất lượng độc quyền của ngành công nghiệp mà bạn mong đợi từ các sản phẩm Challenge. CMT 130TC tiếp tục di sản cung cấp của chúng tôi ... đảm bảo bạn đã đưa ra quyết định đúng đắn.","Cắt lên đến 2 ”/ 50,8 mm Bộ điều khiển màn hình cảm ứng màu 10,5 ”với màn hình hiển thị đồ họa của hệ thống với vị trí sách trực tiếp Thay đổi kích thước hoàn toàn tự động dưới 10 giây mà không cần công cụ Thiết kế mô-đun - có thể được cấu hình off-line, near-line hoặc kết hợp bất cứ lúc nào Trình đọc mã vạch tích hợp tự động thay đổi kích thước giữa các công việc Xử lý tối đa 200 cuốn sách mỗi giờ - chế độ sách đơn Xử lý lên tới 500 cuốn sách mỗi giờ - chế độ nhiều sách tùy chọn Được bảo vệ theo số bằng sáng chế của Hoa Kỳ: 5.694.823 và 6.799.497 Sản xuất tại Michigan - Hoa Kỳ","{""Kích thước cuốn sách (chiều dài gáy x chiều rộng sách):"": ""5,82 \""x 4\"" / 148 mm x 102 mm"", ""Kích thước Sách chưa cắt tối đa(chiều dài gáy x chiều rộng sách):"": ""13 \""x 9,5\"" / 330 mm x 241 mm"", ""Độ dày sách tối đa:"": ""2 \""/ 51 mm"", ""Cắt tối đa - bụng"": ""5,5 \""/ 140 mm"", ""Cắt tối thiểu - Tất cả các mặt:"": ""0,00 \""/ 2,5 mm"", ""Sản lượng"": ""Tối đa 200 cuốn sách mỗi giờ (một cuốn sách) Tối đa 500 cuốn sách mỗi giờ (nhiều sách)"", ""Bộ nhớ:"": ""99 việc làm sách"", ""Thời gian thiết lập cho thay đổi kích thước sách:"": ""Khoảng 10 Giây"", ""Chiều cao tổng thể"": ""62 \""/ 157 cm"", ""Chiều rộng tổng thể (chỉ dành cho máy cơ bản)"": ""52 \""/ 132 cm"", ""Chiều dài tổng thể (chỉ dành cho máy cơ bản)"": ""57 \""/ 145 cm"", ""Trọng lượng tịnh (chỉ máy cơ sở, gần đúng)"": ""1.500 lbs / 680 kg"", ""Trọng lượng vận chuyển (gần đúng)"": ""1.800 lbs / 816 kg""}",https://vprintmachinery.com/upload/sanpham/may-cat-3mat-cmt-130tc-bigsize-2265.jpg,,,,
Máy bế nhãn tốc độ cao Campro A3+ Servo,https://vprintmachinery.com/san-pham/May-be-nhan-toc-do-cao-Campro-A3-Servo-294.html, Campro A3+ Servo,Giá: Liên hệ,Máy bế decal tự động kỹ thuật số sử dụng động cơ servo cho tốc độ cao hơn 150% (so với các dòng máy động cơ bước) mà vẫn duy trì độ chính xác cao,"Cách mạng hóa thị trường máy cắt decal in nhanh, Máy cắt decal Bannercut CamPro A3+ Servo đã bỏ xa các đối thủ cạnh tranh với hệ thống đọc dấu định vị bằng camera với độ chính xác cao, với tốc độ lên tới 1.200 mm/s và lực cắt lên đến 2000g","Tốc độ cao: lên đến 1.500mm/s Đọc dấu định vị bằng camera, với tính năng đọc QR code ​ Điều khiển bằng màn hình cảm ứng Hệ thống thanh giữ giấy kép, không cần chừa khoảng đuôi giấy dài, kết hợp với bon định vị mỏng, giúp tiết kiệm giấy. Kết nối Wi-fi, truyền file một cách dễ dàng Khay cấp giấy với khả năng chứa lên đến 200 tờ (tùy thuộc vào định lượng giấy) Phần mềm SignMaster hỗ trợ nhiều tính năng tự động hóa như tự động nhân bản và dàn trang từ một con nhãn, tạo dấu định vị tự động... Tự động nhân bản và dàn trang nhãn Tự động quét tạo đường cắt theo hình ảnh","{""Campro A3 Light"": {""Khổ giấy tối đa"": ""330 x 488 mm"", ""Khổ cắt tối đa"": ""325 x 483 mm"", ""Động cơ"": ""Động cơ bước"", ""Lực cắt tối đa"": ""2000g"", ""Số đầu cắt"": ""1"", ""Độ chính xác"": ""±0.01 mm"", ""Tốc độ cắt tối đa"": ""800 mm/s"", ""Kích thước đóng gói"": ""692 x 482 x 335 mm"", ""Khối lượng"": ""30 kg""}, ""Campro A3+ Servo"": {""Khổ giấy tối đa"": ""330 x 488 mm"", ""Khổ cắt tối đa"": ""325 x 483 mm"", ""Động cơ"": ""Động cơ servo"", ""Lực cắt tối đa"": ""2000g"", ""Số đầu cắt"": ""1"", ""Độ chính xác"": ""±0.01 mm"", ""Tốc độ cắt tối đa"": ""1500 mm/s"", ""Kích thước đóng gói"": ""760 x 550 x 410 mm"", ""Khối lượng"": ""49.5 kg""}}","https://vprintmachinery.com/upload/hinhthem/a3servo768x768-2357.png, https://vprintmachinery.com/upload/hinhthem/servo-a3-1983.png, https://vprintmachinery.com/upload/sanpham/CAMPROSERVOt-2302.jpg",,,,
Máy in DTF cho vải,https://vprintmachinery.com/san-pham/May-in-DTF-cho-vai-306.html, VP-620DTF,Giá: Liên hệ,"Máy in DTF cho các sản phẩm vải, áo...","In DTF (Direct-to-Film) là một phương pháp in đang trở thành một trào lưu sôi nổi trên thị trường trong thời gian gần đây, thường được ứng dụng để chuyển hình ảnh in lên các vật dụng có bề mặt không bằng phẳng hoặc có chất liệu đặc biệt. Phương pháp in DTF chủ yếu sử dụng nguyên lý in phun thông qua một loại màng phim trung gian để truyền hình ảnh lên các loại vật liệu khác nhau như vải (DTF vải), kim loại, kính, nhựa... (UV DTF). Quy trình in DTF trên vải được thể hiện như bên dưới Máy in DTF vải VP-620DTF Máy in DTF vải VP-620DTF có nhiều tính năng thông minh và tính tự động hóa cao, có thể thực hiện các quá trình gia nhiệt, vệ sinh, theo dõi, cấp ẩm online, điều khiển liên kết nhiều đơn vị. Phù hợp và cực kì ổn định cho sản xuất hàng loạt.","Đầu in lắp đặt sẵn, không cần thao tác phức tạp, lắp đặt lần đầu đơn giản và có thể sử dụng ngay. Làm ẩm đầu in tự động: Giá đỡ đầu in tự động cấp một lượng chất làm ẩm đều đặn để giữ ẩm và làm sạch đầu in, giữ đầu in luôn ở trạng thái làm việc tốt nhất. Hệ thống gia nhiệt tự động: máy in có một bộ phận gia nhiệt bên ngoài đầu in, giúp máy in có thể hoạt động trong môi trường có sự biến thiên nhiệt độ lớn, chức năng gia nhiệt còn đảm bảo khả năng lưu thông mực tốt. Tính năng bù trừ vòi phun: máy in có thể theo dõi tình trạng của toàn bộ quá trình in. Khi xảy ra vấn đề liên quan đến rò, tắc mực, máy sẽ tự động bù trừ để đảm bảo chất lượng đầu ra đạt yêu cầu Multi-printer Manager: Một máy tính có thể điều khiển nhiều máy in khác nhau thông qua địa chỉ IP giúp người vận hành có thể điều khiển nhiều máy in một cách tập trung và tăng hiệu quả công việc Thanh ray chống ồn THK: Thanh ray THK chất lượng cao nhập khẩu tuổi thọ cao, thường được dùng trong các sản phẩm cao cấp. Độ ổn định cao với tiếng ồn thấp.","{""4 pass: 12m 2 /h"": {""Chiều rộng vật liệu"": ""600mm"", ""Độ phân giải in"": ""360x2400dpi"", ""Chiều rộng in tối đa"": ""600mm"", ""Loại mực"": ""Mực DTF pigment"", ""Phần mềm in"": ""Maintop 6.1/Photoprint"", ""Điều kiện môi trường"": ""Nhiệt độ: 10-28oC"", ""Điện áp"": ""110/220V, 60Hz""}, ""6 pass: 9m 2 /h"": {""Chiều rộng vật liệu"": ""Chiều dài lò sấy"", ""Độ phân giải in"": ""360x3600dpi"", ""Chiều rộng in tối đa"": ""Nhiệt độ ép nhiệt"", ""Loại mực"": ""Công suất"", ""Phần mềm in"": ""Ngôn ngữ"", ""Điều kiện môi trường"": ""Độ ẩm: 65-75%"", ""Điện áp"": ""Công suất""}, ""8 pass: 6m 2 /h"": {""Chiều rộng vật liệu"": ""1079 mm"", ""Độ phân giải in"": ""720x2400dpi (6 pass, 8 pass)"", ""Chiều rộng in tối đa"": ""160-170oC"", ""Loại mực"": ""200-400W"", ""Phần mềm in"": ""Tiếng Anh/Tiếng Trung"", ""Điện áp"": ""4kW""}}","https://vprintmachinery.com/upload/hinhthem/VP620-DTF2-3001.png, https://vprintmachinery.com/upload/sanpham/VP-620-DTF-9668.png",,,,
YD-H1800R5- Máy in UV Hibrid 2 trong 1,https://vprintmachinery.com/san-pham/YDH1800R5-May-in-UV-Hibrid-2-trong-1-195.html, YD-H1800R5,Giá: Liên hệ,Máy in UV hybrid hiệu YOTTA| Máy in vừa cuộn vừa tấm trên mọi chất liệu và bề mặt cho quảng cáo và trang trí nội thất và các ứng dụng công nghiệp.,Máy in UV hybrid 2 trong 1 hiệu YOTTA| Máy in vừa cuộn vừa tấm trên mọi chất liệu và bề mặt cho quảng cáo và trang trí nội thất Vprint xin giới thiệu tới quý khách loại máy in UV hybrid (2 trong 1 kết hợp máy in phẳng flatbed và máy in cuộn) nhãn hiệu Yotta do VPrint phân phối chính hãng. Với các dòng máy này quý khách hoàn toàn yên tâm về chất lượng của máy cũng như chất lượng của sản phẩm in đã được khẳng định chất lượng trên thị trường Việt Nam.,"Đặc điểm nổi bật của máy in UV Hydrid YD-H1800R5: Là dòng máy in UV tốc độ công nghiệp lên đến 76m2/h và độ phân giải lên đến 600x2400 dpi (cao nhất thị trường). Máy vừa in tấm (phẳng) vừa in cuộn nên sẽ in được trên nhiều loại sản phẩm hơn giúp quý khách nhanh thu hồi vốn đầu tư. Do đó tiết kiệm chi phí đầu tư lên đến 50% so với các dòng máy khác. - Đầu in công nghiệp thế hệ 5 của Ricoh, tuổi thọ lên đến 5 năm, hạt mực từ 7-35pl - Nhiều màu- từ 4 đến 8 màu - Hệ thống tự động chống va chạm để bảo vệ đầu in - Tự động định vị trí và chiều cao vật liệu cần in - Máy có độ chính xác cao lên đến 1micromet - Máy được trang bị bàn hút chân không để giữ ổn định vật liệu mỏng - Đèn LED UV của Mỹ an toàn và tuổi thọ lên đến 30.000h vận hành - Hệ thống đường ray đôi của Đài Loan giúp tăng độ ổn định và giảm độ ồn - Động cơ servo của Panasonic cho phép điều khiển chính xác các chuyển động Máy in UV H1800R5 2 trong 1","{""Model"": ""YD-H1800 R5"", ""Số đầu in"": ""2-12 cái, Ricoh công nghiệp thế hệ 5"", ""Đầu in/Công nghệ in"": ""Ricoh Gen5/ Grey level Piezo"", ""Kích thước vùng in"": ""Rộng 1800mm x Không giới hạn chiều dài"", ""Mực"": ""Y, M, C, K, Lm, Lc (W; V)"", ""Mực đặc biệt"": ""Mực trắng, Vanish"", ""Độ phân giải"": ""600x2400dpi"", ""Nguồn yêu cầu"": ""AC 220V, 50/60Hz, 8.5KW"", ""Chiều dày vật liệu"": ""50mm"", ""Vật liệu có thể in"": ""Các loại bạt quảng cáo, đá, gỗ, vải, kim loại, thủy tinh..."", ""Kích thước máy (LxWxH) YD-H1800"": ""4500x1350x1420mm, 1200Kg""}",https://vprintmachinery.com/upload/sanpham/H1800R5-may-in-UV-7285.jpg,,,,
Máy in flexo full-rotary SYNCHROLINE,https://vprintmachinery.com/san-pham/May-in-flexo-fullrotary-SYNCHROLINE-297.html, Synchroline,Giá: Liên hệ,SYNCHROLINE là dòng máy in Flexo Full-rotary đến từ Ý. Dành cho những khách hàng tìm kiếm tính linh hoạt tối đa và khả năng làm việc trên nhiều loại vật liệu,"SYNCHROLINE là dòng máy in Flexo Full-rotary đến từ Ý, với các cụm in được điều khiển đơn lẻ bởi động cơ không chổi than và việc cài đặt cũng như duy trì chồng màu của toàn bộ máy in được điều khiển bởi bảng điện với hệ thống điều khiển chồng màu. Có thể giúp điều chỉnh sai lệch chồng màu do sự giãn nở vật liệu theo thời gian thực. Dành cho những khách hàng tìm kiếm tính linh hoạt tối đa và khả năng làm việc trên nhiều loại vật liệu. Máy in nhãn cuộn flexo full-rotary","- Hệ thống Hi-FiT: Một hệ thống cải tiến được sử dụng cho các trục in cho phép lắp ngay các trục có đường kính khác nhau mà không cần bộ chuyển đổi. Trên thực tế, các trục in nằm trên một đường cong được nghiên cứu bằng thuật toán đặc biệt có thể giữ áp lực in không đổi khi thay đổi đường kính cuộn. - Hệ thống Hi-FiX: Trục bản được kẹp bằng khí nén với một pít-tông hình nón giúp chuyển động một chiều không bị đảo ngược, giảm chuyển động và rung động đến mức tối thiểu. - Hệ thống Hi-DynamiX: Lưỡi dao được tạo áp lực lên trục anilox bằng hệ thống khí nén, tạo áp lực tự động thích ứng, giúp phân phối mực một cách tốt nhất. - Hệ thống Hi-InX: Khi máy dừng,trục mực (anilox) được mở ra, tiếp theo (sau một khoảng thời gian ổn định) là trục in, để làm sạch mực thừa (một thao tác cần thiết khi sử dụng mực không UV) . HỆ THỐNG ĐIỆN TỬ HÀNG ĐẦU: - Hệ thống điện tử hoàn toàn tự động: lãng phí vật liệu tối thiểu, lãng phí thời gian tối thiểu, độ chính xác tối đa. - Điều khiển chồng màu hoàn toàn tự động với hệ thống tham số để chồng màu hoàn hảo trên các vật liệu có thể giãn nở. - Kiểm soát lực căng điện tử để tạo lực căng hoàn hảo cho các loại vật liệu khác nhau. - Hệ thống phân tích chất lượng.","{""SYNCHROLINE 330"": {""Chiều rộng cuộn"": ""350 mm"", ""Chiều rộng in"": ""330 mm"", ""Số đơn vị in"": ""2 - 10"", ""Đường kính xả cuộn"": ""Ø1000 mm"", ""Tốc độ tối đa"": ""220 m/phút"", ""Độ dài in tối thiểu"": ""203.2 mm"", ""Độ dài in tối đa"": ""609.6 mm"", ""Độ dài bế xoay tối thiểu"": ""203.2 mm"", ""Độ dài bế xoay tối đa"": ""609.6 mm"", ""Số trạm bế xoay tối đa"": ""2 - 5"", ""Loại vật liệu khả dụng"": ""Giấy, nhãn giấy, màng co giãn""}, ""SYNCHROLINE 430"": {""Chiều rộng cuộn"": ""450 mm"", ""Chiều rộng in"": ""430 mm"", ""Số đơn vị in"": ""2 - 10"", ""Đường kính xả cuộn"": ""Ø1000 mm"", ""Tốc độ tối đa"": ""220 m/phút"", ""Độ dài in tối thiểu"": ""203.2 mm"", ""Độ dài in tối đa"": ""609.6 mm"", ""Độ dài bế xoay tối thiểu"": ""203.2 mm"", ""Độ dài bế xoay tối đa"": ""609.6 mm"", ""Số trạm bế xoay tối đa"": ""2 - 5"", ""Loại vật liệu khả dụng"": ""Giấy, nhãn giấy, màng co giãn""}, ""SYNCHROLINE 530"": {""Chiều rộng cuộn"": ""550 mm"", ""Chiều rộng in"": ""530 mm"", ""Số đơn vị in"": ""2 - 10"", ""Đường kính xả cuộn"": ""Ø1000 mm"", ""Tốc độ tối đa"": ""220 m/phút"", ""Độ dài in tối thiểu"": ""203.2 mm"", ""Độ dài in tối đa"": ""609.6 mm"", ""Độ dài bế xoay tối thiểu"": ""203.2 mm"", ""Độ dài bế xoay tối đa"": ""609.6 mm"", ""Số trạm bế xoay tối đa"": ""2 - 5"", ""Loại vật liệu khả dụng"": ""Giấy, nhãn giấy, màng co giãn""}, ""SYNCHROLINE 600"": {""Chiều rộng cuộn"": ""620 mm"", ""Chiều rộng in"": ""600 mm"", ""Số đơn vị in"": ""2 - 10"", ""Đường kính xả cuộn"": ""Ø1000 mm"", ""Tốc độ tối đa"": ""220 m/phút"", ""Độ dài in tối thiểu"": ""203.2 mm"", ""Độ dài in tối đa"": ""609.6 mm"", ""Độ dài bế xoay tối thiểu"": ""203.2 mm"", ""Độ dài bế xoay tối đa"": ""609.6 mm"", ""Số trạm bế xoay tối đa"": ""2 - 5"", ""Loại vật liệu khả dụng"": ""Giấy, nhãn giấy, màng co giãn""}}","https://vprintmachinery.com/upload/hinhthem/fullY3A45891BASSA-3732.jpg, https://vprintmachinery.com/upload/hinhthem/fullsynchroline1-6215.jpg, https://vprintmachinery.com/upload/hinhthem/fullsynchroline3-9154.jpg, https://vprintmachinery.com/upload/sanpham/SYNCHROLINE__4-scont-4493.jpg",,,,
"Máy đóng gói giấy ram A3, A4",https://vprintmachinery.com/san-pham/May-dong-goi-giay-ram-A3-A4-292.html, CRM 20/50/100,Giá: Liên hệ,"Máy đóng gói giấy ram tự động các khổ A3, A4, legal, letter chất lượng cao, xuất xứ Ấn Độ.","Máy đóng gói giấy ram chất lượng cao. Có thể đóng gói được các khổ giấy từ A4, A3, các khổ giấy chuẩn của Mỹ như legal (8.5x14 inches), letter (8.5x11 inches) . Máy có tải trọng lớn, hoàn toàn tự động bao gồm băng tải cấp vật liệu, bộ phận xả cuộn giấy gói, bộ phận kéo và cắt giấy gói, hệ thống vận chuyển giấy gói, bộ phận đóng gói chính và băng chuyền đầu ra. Máy đóng gói giấy ram tự động",Độ chính xác cao Giảm thiểu nhân lực Hiệu suất nhất quán Chất lượng bao bì tuyệt vời Tuổi thọ cao Dễ vận hành và yêu cầu bảo trì rất thấp,"{""CRM 20"": {""Tốc độ đóng gói* cho giấy A4 (ram/phút)"": ""20"", ""Loại giấy gói (có hoặc không có cán màng poly)"": ""Giấy chất lượng cao"", ""Đường kính cuộn giấy gói (mm)"": ""1000"", ""Chiều rộng cuộn giấy gói (mm)"": ""800"", ""Đường kính lõi cuộn giấy gói (mm)"": ""70 – 110"", ""Định lượng giấy gói (gsm)"": ""80 – 120"", ""Keo"": ""Keo nóng chảy"", ""Kích thước máy (L x W x H) (mét)"": ""8 x 8 x 4""}, ""CRM 50"": {""Tốc độ đóng gói* cho giấy A4 (ram/phút)"": ""50"", ""Loại giấy gói (có hoặc không có cán màng poly)"": ""Giấy chất lượng cao"", ""Đường kính cuộn giấy gói (mm)"": ""1000"", ""Chiều rộng cuộn giấy gói (mm)"": ""800"", ""Đường kính lõi cuộn giấy gói (mm)"": ""70 – 110"", ""Định lượng giấy gói (gsm)"": ""80 – 120"", ""Keo"": ""Keo nóng chảy"", ""Kích thước máy (L x W x H) (mét)"": ""13 x 10 x 6""}, ""CRM 100"": {""Tốc độ đóng gói* cho giấy A4 (ram/phút)"": ""80"", ""Loại giấy gói (có hoặc không có cán màng poly)"": ""Giấy chất lượng cao"", ""Đường kính cuộn giấy gói (mm)"": ""1000"", ""Chiều rộng cuộn giấy gói (mm)"": ""800"", ""Đường kính lõi cuộn giấy gói (mm)"": ""70 – 110"", ""Định lượng giấy gói (gsm)"": ""80 – 120"", ""Keo"": ""Keo nóng chảy"", ""Kích thước máy (L x W x H) (mét)"": ""14 x 10 x 6""}}",https://vprintmachinery.com/upload/sanpham/Screenshot-2022-12-22-092511-7168.png,,,,
